File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
lv_font_montserrat_30.o,12.171593%,41964,8,0,41956,8,0
img_gear.o,8.704934%,30012,0,0,30012,0,0
lv_font_montserrat_16.o,4.612930%,15904,8,0,15896,8,0
lcd.o,3.951040%,13622,94,13622,0,0,94
lv_theme_default.o,3.759028%,12960,108,12906,22,32,76
lv_chart.o,2.439888%,8412,0,8384,28,0,0
lv_draw_sw_rect.o,2.392900%,8250,0,8250,0,0,0
c_w.l,2.360704%,8139,96,7588,551,0,96
lv_obj_pos.o,1.957537%,6749,5,6736,8,5,0
lv_draw_mask.o,1.776837%,6126,0,6126,0,0,0
lv_label.o,1.613249%,5562,0,5534,28,0,0
lv_obj_scroll.o,1.578444%,5442,0,5442,0,0,0
lv_btnmatrix.o,1.545668%,5329,28,5236,65,28,0
lv_textarea.o,1.541898%,5316,4,5284,28,4,0
lv_indev.o,1.325231%,4569,9,4560,0,9,0
lv_obj_style.o,1.310149%,4517,1,4516,0,1,0
lv_obj.o,1.264031%,4358,8,4322,28,8,0
lv_dropdown.o,1.235026%,4258,0,4202,56,0,0
tasks.o,1.158453%,3994,804,3930,0,64,740
lv_refr.o,1.143371%,3942,8,3934,0,8,0
lv_draw_sw_blend.o,1.127128%,3886,0,3886,0,0,0
stm32f4xx_ll_usb.o,1.099284%,3790,0,3790,0,0,0
lv_flex.o,1.099284%,3790,14,3776,0,14,0
lv_arc.o,1.072599%,3698,0,3670,28,0,0
lv_draw_sw_arc.o,1.009949%,3482,0,3482,0,0,0
lv_colorwheel.o,0.995156%,3431,7,3396,28,7,0
lv_indev_scroll.o,0.977463%,3370,0,3370,0,0,0
lv_table.o,0.964121%,3324,0,3296,28,0,0
lv_grid.o,0.961801%,3316,24,3292,0,24,0
lv_img_buf.o,0.956000%,3296,0,3296,0,0,0
stm32f4xx_hal_pcd.o,0.936276%,3228,0,3228,0,0,0
lv_roller.o,0.924094%,3186,0,3130,56,0,0
lv_slider.o,0.884648%,3050,0,3022,28,0,0
lv_img.o,0.862604%,2974,0,2946,28,0,0
lv_meter.o,0.788352%,2718,0,2690,28,0,0
lv_img_decoder.o,0.781390%,2694,0,2694,0,0,0
lv_bar.o,0.763407%,2632,0,2604,28,0,0
lv_draw_sw_line.o,0.750355%,2587,0,2554,33,0,0
lv_tlsf.o,0.715840%,2468,0,2468,0,0,0
lv_obj_draw.o,0.712359%,2456,0,2456,0,0,0
lv_printf.o,0.700177%,2414,0,2414,0,0,0
lv_txt.o,0.675233%,2328,32,2296,0,32,0
lv_keyboard.o,0.651739%,2247,72,864,1311,72,0
lv_draw_label.o,0.628245%,2166,0,2166,0,0,0
usbd_ctlreq.o,0.627375%,2163,1,2162,0,1,0
btod.o,0.561534%,1936,0,1936,0,0,0
stm32f4xx_hal_rcc.o,0.527888%,1820,0,1820,0,0,0
stm32f4xx_hal_uart.o,0.520927%,1796,0,1796,0,0,0
lv_mem.o,0.483221%,1666,61448,1658,0,8,61440
queue.o,0.456536%,1574,64,1574,0,0,64
lv_menu.o,0.447255%,1542,0,1290,252,0,0
lv_draw_sw_letter.o,0.434493%,1498,264,1204,286,8,256
lv_draw_sw_img.o,0.425211%,1466,0,1466,0,0,0
touch.o,0.423471%,1460,72,1388,0,72,0
lv_calendar.o,0.395916%,1365,28,1282,55,28,0
lv_draw_sw_gradient.o,0.394176%,1359,9,1350,0,9,0
usbd_cdc.o,0.387795%,1337,271,1066,0,271,0
lv_area.o,0.379383%,1308,0,1308,0,0,0
lv_style.o,0.363721%,1254,2,1252,0,2,0
lv_spinbox.o,0.363141%,1252,0,1224,28,0,0
lv_checkbox.o,0.363141%,1252,0,1224,28,0,0
lv_obj_tree.o,0.358500%,1236,0,1236,0,0,0
lv_draw_arc.o,0.357920%,1234,0,1234,0,0,0
stm32f4xx_hal_rtc.o,0.355019%,1224,0,1224,0,0,0
lv_group.o,0.349798%,1206,4,1202,0,4,0
port.o,0.340517%,1174,12,1162,0,12,0
lv_draw_img.o,0.336456%,1160,0,1160,0,0,0
lv_anim.o,0.336456%,1160,12,1148,0,12,0
lv_switch.o,0.330655%,1140,0,1112,28,0,0
lv_event.o,0.326595%,1126,8,1118,0,8,0
lv_color.o,0.321954%,1110,0,730,380,0,0
timers.o,0.319633%,1102,60,1082,0,20,40
lv_calendar_header_dropdown.o,0.309772%,1068,8,380,680,8,0
_printf_fp_dec.o,0.305711%,1054,0,1054,0,0,0
usbd_conf.o,0.297880%,1027,1033,1026,0,1,1032
lv_tabview.o,0.292949%,1010,4,978,28,4,0
lv_fs.o,0.292949%,1010,0,1010,0,0,0
usbd_core.o,0.291209%,1004,0,1004,0,0,0
lv_style_gen.o,0.290629%,1002,0,1002,0,0,0
lv_font_fmt_txt.o,0.285988%,986,0,986,0,0,0
lv_draw_sw_polygon.o,0.268005%,924,0,916,8,0,0
heap_4.o,0.255243%,880,10272,848,0,32,10240
lv_led.o,0.250602%,864,0,836,28,0,0
_printf_fp_hex.o,0.232619%,802,0,764,38,0,0
lv_hal_disp.o,0.230589%,795,13,782,0,13,0
lv_calendar_header_arrow.o,0.206805%,713,48,532,133,48,0
lv_math.o,0.195493%,674,0,492,182,0,0
rtc.o,0.192592%,664,32,664,0,0,32
lv_timer.o,0.192012%,662,20,642,0,20,0
fz_wm.l,0.189692%,654,0,654,0,0,0
usbd_cdc_interface.o,0.176349%,608,632,576,0,32,600
stm32f4xx_hal_gpio.o,0.163587%,564,0,564,0,0,0
lv_line.o,0.159527%,550,0,522,28,0,0
lv_obj_class.o,0.158947%,548,0,548,0,0,0
malloc.o,0.155466%,536,84892,484,24,28,84864
usbd_desc.o,0.148505%,512,334,434,0,78,256
lv_ll.o,0.145024%,500,0,500,0,0,0
sram.o,0.141544%,488,0,488,0,0,0
usart.o,0.136613%,471,275,464,0,7,268
startup_stm32f407xx.o,0.135743%,468,4096,76,392,0,4096
lv_mainstart.o,0.134002%,462,12,450,0,12,0
lv_tileview.o,0.133422%,460,12,392,56,12,0
stm32f4xx_hal_rcc_ex.o,0.120660%,416,0,416,0,0,0
stm32f4xx_hal_tim.o,0.120080%,414,0,414,0,0,0
__printf_flags_ss_wp.o,0.118630%,409,0,392,17,0,0
lv_obj_style_gen.o,0.116019%,400,0,400,0,0,0
bigflt0.o,0.109058%,376,0,228,148,0,0
stm32f4xx_hal_cortex.o,0.099777%,344,0,344,0,0,0
dmul.o,0.098616%,340,0,340,0,0,0
lc_ctype_c.o,0.091655%,316,0,44,272,0,0
lv_win.o,0.082374%,284,2,254,28,2,0
lv_draw_rect.o,0.078893%,272,0,272,0,0,0
key.o,0.073092%,252,0,252,0,0,0
lv_hal_indev.o,0.072512%,250,0,250,0,0,0
lludivv7m.o,0.069032%,238,0,238,0,0,0
lv_spinner.o,0.068451%,236,8,200,28,8,0
stm32f4xx_ll_fsmc.o,0.067291%,232,0,232,0,0,0
stm32f4xx_hal.o,0.064681%,223,9,214,0,9,0
main.o,0.062650%,216,724,212,0,4,720
lv_port_disp_template.o,0.061490%,212,16104,212,0,0,16104
stm32f4xx_hal_dma.o,0.060910%,210,0,210,0,0,0
sys.o,0.059170%,204,0,204,0,0,0
_printf_wctomb.o,0.056849%,196,0,188,8,0,0
lv_port_indev_template.o,0.055689%,192,40,184,0,8,32
_printf_hex_int_ll_ptr.o,0.054529%,188,0,148,40,0,0
_printf_intcommon.o,0.051629%,178,0,178,0,0,0
lv_font.o,0.051629%,178,0,178,0,0,0
delay.o,0.051049%,176,4,172,0,4,0
usbd_ioreq.o,0.050468%,174,0,174,0,0,0
dnaninf.o,0.045248%,156,0,156,0,0,0
led.o,0.044087%,152,0,152,0,0,0
