File_name,ram_percent,ram,flash,Code,RO_data,RW_data,ZI_data
malloc.o,46.416718%,84892,536,484,24,28,84864
lv_mem.o,33.598156%,61448,1666,1658,0,8,61440
lv_port_disp_template.o,8.805244%,16104,212,212,0,0,16104
heap_4.o,5.616460%,10272,880,848,0,32,10240
startup_stm32f407xx.o,2.239585%,4096,468,76,392,0,4096
usbd_conf.o,0.564817%,1033,1027,1026,0,1,1032
tasks.o,0.439606%,804,3994,3930,0,64,740
main.o,0.395864%,724,216,212,0,4,720
usbd_cdc_interface.o,0.345561%,632,608,576,0,32,600
lv_gc.o,0.288697%,528,20,0,0,20,508
usbd_desc.o,0.182622%,334,512,434,0,78,256
usart.o,0.150363%,275,471,464,0,7,268
usbd_cdc.o,0.148176%,271,1337,1066,0,271,0
lv_draw_sw_letter.o,0.144348%,264,1498,1204,286,8,256
lv_theme_default.o,0.059052%,108,12960,12906,22,32,76
c_w.l,0.052490%,96,8139,7588,551,0,96
libspace.o,0.052490%,96,8,8,0,0,96
lcd.o,0.051397%,94,13622,13622,0,0,94
touch.o,0.039368%,72,1460,1388,0,72,0
lv_keyboard.o,0.039368%,72,2247,864,1311,72,0
btim.o,0.039368%,72,18,18,0,0,72
queue.o,0.034994%,64,1574,1574,0,0,64
timers.o,0.032806%,60,1102,1082,0,20,40
lv_calendar_header_arrow.o,0.026245%,48,713,532,133,48,0
lv_port_indev_template.o,0.021871%,40,192,184,0,8,32
rtc.o,0.017497%,32,664,664,0,0,32
lv_txt.o,0.017497%,32,2328,2296,0,32,0
lv_calendar.o,0.015310%,28,1365,1282,55,28,0
lv_btnmatrix.o,0.015310%,28,5329,5236,65,28,0
lv_grid.o,0.013123%,24,3316,3292,0,24,0
lv_timer.o,0.010935%,20,662,642,0,20,0
lvgl_app.o,0.008748%,16,84,68,0,16,0
lv_flex.o,0.007655%,14,3790,3776,0,14,0
lv_hal_disp.o,0.007108%,13,795,782,0,13,0
rtc_read_app.o,0.006561%,12,88,76,0,12,0
port.o,0.006561%,12,1174,1162,0,12,0
lv_tileview.o,0.006561%,12,460,392,56,12,0
lv_mainstart.o,0.006561%,12,462,450,0,12,0
lv_anim.o,0.006561%,12,1160,1148,0,12,0
stm32f4xx_hal.o,0.004921%,9,223,214,0,9,0
lv_indev.o,0.004921%,9,4569,4560,0,9,0
lv_draw_sw_gradient.o,0.004921%,9,1359,1350,0,9,0
lv_spinner.o,0.004374%,8,236,200,28,8,0
lv_refr.o,0.004374%,8,3942,3934,0,8,0
lv_obj.o,0.004374%,8,4358,4322,28,8,0
lv_font_montserrat_30.o,0.004374%,8,41964,0,41956,8,0
lv_font_montserrat_16.o,0.004374%,8,15904,0,15896,8,0
lv_event.o,0.004374%,8,1126,1118,0,8,0
lv_calendar_header_dropdown.o,0.004374%,8,1068,380,680,8,0
lv_colorwheel.o,0.003827%,7,3431,3396,28,7,0
lv_obj_pos.o,0.002734%,5,6749,6736,8,5,0
system_stm32f4xx.o,0.002187%,4,48,20,24,4,0
lv_textarea.o,0.002187%,4,5316,5284,28,4,0
lv_tabview.o,0.002187%,4,1010,978,28,4,0
lv_group.o,0.002187%,4,1206,1202,0,4,0
led_app.o,0.002187%,4,100,96,0,4,0
delay.o,0.002187%,4,176,172,0,4,0
lv_win.o,0.001094%,2,284,254,28,2,0
lv_style.o,0.001094%,2,1254,1252,0,2,0
usbd_ctlreq.o,0.000547%,1,2163,2162,0,1,0
lv_obj_style.o,0.000547%,1,4517,4516,0,1,0
